,,TEAM,TIME,MEET,MEET DATE
0,1,Wheaton (Ill.),3:48.12,Swarthmore Final Qualifier Meet,"May 14, 2018"
1,2,Augustana (Ill.),3:52.89,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,North Central (Ill.),3:56.00,NCC Gregory Final Qualifier,"May 16, 2018"
3,4,Millikin,4:02.34,True Blue Twilight,"Apr 27, 2018"
4,5,Carroll,4:07.08,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,Carthage,4:08.09,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,Illinois Wesleyan,4:09.94,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,North Park,4:12.23,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,Elmhurst,4:14.91,2018 Cougar Invitational,"Apr 20, 2018"
