,,TEAM,TIME,MEET,MEET DATE
0,1,Augustana (Ill.),41.43,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,North Central (Ill.),41.48,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,Carthage,41.64,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,Millikin,42.32,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,North Park,43.02,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,Illinois Wesleyan,43.03,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,Carroll,43.41,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,Wheaton (Ill.),43.49,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,Elmhurst,43.98,2018 Wheaton Invitational,"Apr 7, 2018"
