,,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE
0,1,"Kitchen, Nicole",SR-4,Wheaton (Ill.),4452,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,"Dolan, Dani",SR-4,Carthage,4224,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Sanders, Makenna",SR-4,Wheaton (Ill.),4049,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Dammeier, Hailey",JR-3,North Central (Ill.),3706,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Fischer, Sierra",SO-2,Carroll,3551,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Foxhoven, Cassidy",JR-3,Wheaton (Ill.),3369,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Hartwig, Jessi",SR-4,Carroll,3137,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Donnelly, Erin",FR-1,North Central (Ill.),2603,CCIW Outdoor Track & Field Championships,"May 4, 2018"
