,,TEAM,TIME,MEET,MEET DATE
0,1,Augustana (Ill.),47.56,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,Wheaton (Ill.),48.49,2018 Drake Relays presented by Hy-Vee,"Apr 25, 2018"
2,3,Illinois Wesleyan,48.56,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,Millikin,48.71,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,North Central (Ill.),48.78,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,Carthage,49.90,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,Carroll,50.65,Bellarmine Classic 2018,"Apr 21, 2018"
7,8,North Park,50.90,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,Elmhurst,52.36,Beloit Relays,"Apr 28, 2018"
