,,ATHLETE,YEAR,POINTS,MEET,MEET DATE
0,110,"Van Grinsven, Leif",JR-3,6725,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,394,"Smith, Robert",SO-2,5770,CCIW Outdoor Track & Field Championships,"May 4, 2018"
