,,ATHLETE,YEAR,TIME,MEET,MEET DATE,WIND
0,2463,"Amstutz, Paul",SO-2,22.85,Lewis Twilight,"Apr 24, 2018",+0.0
1,2906,"Lauber, Andrew",FR-1,23.08,Lewis Twilight,"Apr 24, 2018",+0.0
2,4481,"Shay, Drew",SR-4,24.09,North Central College Dr. Keeler Meet,"May 10, 2018",-0.2
3,4758,"Smith, Robert",SO-2,24.33,North Central College Dr. Keeler Meet,"May 10, 2018",0.2
4,4825,"Peneycad, Matt",SR-4,24.41,Beloit Relays,"Apr 28, 2018",1.0
5,4867,"Van Os, Peter",FR-1,24.45,CCIW Outdoor Track & Field Championships,"May 4, 2018",-0.2
6,5254,"Hoshino, Alex",JR-3,24.93,Benedictine Relays and Invitational,"Apr 13, 2018",1.5
