,,ATHLETE,YEAR,MARK,CONV,MEET,MEET DATE
0,1311,"Paolina, Joey",SO-2,45.10m,"147' 11""",North Central College Dr. Keeler Meet,"May 10, 2018"
1,1463,"Zeller, James",SO-2,43.68m,"143' 4""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,1478,"Smith, Robert",SO-2,43.58m,"143' 0""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,1617,"Van Grinsven, Leif",JR-3,42.48m,"139' 4""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
4,1693,"Ruble, Nate",SR-4,41.79m,"137' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,2208,"Dahlager, Jonathan",SO-2,37.50m,"123' 0""",2018 Don Church Twilight,"Apr 21, 2018"
6,2350,"Harris, David",SR-4,36.34m,"119' 3""",Augustana Viking Olympics,"Mar 29, 2018"
