,,ATHLETE,YEAR,TIME,MEET,MEET DATE
0,1353,"Margason, Andy",SO-2,58.59,Beloit Relays,"Apr 28, 2018"
1,1591,"Peneycad, Matt",SR-4,59.89,NCC Gregory Final Qualifier,"May 16, 2018"
