,,ATHLETE,YEAR,TIME,MEET,MEET DATE
0,393,"Spykstra, Seth",SR-4,9:23.01,NCC Gregory Final Qualifier,"May 16, 2018"
1,538,"Jones, Jonah",FR-1,9:33.40,NCC Gregory Final Qualifier,"May 16, 2018"
2,574,"Massot, Seth",SO-2,9:35.35,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,903,"Andersen, Luke",SR-4,9:54.85,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,1069,"Trujillo, Miles",JR-3,10:04.20,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,1181,"Thomas, Hudson",SR-4,10:11.09,NCC Gregory Final Qualifier,"May 16, 2018"
6,1479,"Johnson, Soren",JR-3,10:31.34,Augustana Viking Olympics,"Mar 29, 2018"
