,,ATHLETE,YEAR,TIME,MEET,MEET DATE,WIND
0,800,"Van Grinsven, Leif",JR-3,15.36,Lewis Twilight,"Apr 24, 2018",1.9
1,1295,"Margason, Andy",SO-2,16.07,CCIW Outdoor Track & Field Championships,"May 4, 2018",1.6
2,1651,"Smith, Robert",SO-2,16.75,CCIW Outdoor Track & Field Championships,"May 4, 2018",1.2
3,1738,"Harris, David",SR-4,16.99,Lewis Twilight,"Apr 24, 2018",1.9
