,,ATHLETE,YEAR,TIME,MEET,MEET DATE
0,1061,"Pinkerton, Logan",SO-2,1:55.29,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,1535,"Dowell, Bradley",JR-3,1:56.77,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,1916,"Adams, Grant",FR-1,1:57.80,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,2097,"Dischinger, David",SO-2,1:58.33,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,2281,"Daghfal, Andrew",JR-3,1:58.82,2018 Don Church Twilight,"Apr 21, 2018"
5,2808,"Walker, Johnathan",SR-4,2:00.22,NCC Gregory Final Qualifier,"May 16, 2018"
6,2833,"Van Os, Andrew",JR-3,2:00.32,North Central College Dr. Keeler Meet,"May 10, 2018"
7,2938,"Thomas, Hudson",SR-4,2:00.58,Lewis Twilight,"Apr 24, 2018"
8,3562,"Brase, Noah",JR-3,2:02.55,Lewis Twilight,"Apr 24, 2018"
9,3844,"Van Grinsven, Leif",JR-3,2:03.57,Augustana Viking Olympics,"Mar 29, 2018"
10,4857,"Trujillo, Miles",JR-3,2:07.88,North Central College Dr. Keeler Meet,"May 10, 2018"
11,6047,"Wilson, Christian",FR-1,2:17.56,Augustana Viking Olympics,"Mar 29, 2018"
