,,ATHLETE,YEAR,MARK,CONV,MEET,MEET DATE
0,167,"Gray, Collin",SR-4,2.08m,"6' 9.75""",2018 Drake Relays presented by Hy-Vee,"Apr 25, 2018"
1,798,"Mathew, Stephen",SO-2,1.92m,"6' 3.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,1061,"Van Grinsven, Leif",JR-3,1.87m,"6' 1.5""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
3,2148,"Smith, Robert",SO-2,1.59m,"5' 2.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
