,,ATHLETE,YEAR,MARK,CONV,MEET,MEET DATE
0,480,"Bradley, David",FR-1,4.61m,"15' 1.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,540,"Bradley, Peter",SO-2,4.55m,"14' 11""",Beloit Relays,"Apr 28, 2018"
2,828,"Cruz, Nathan",JR-3,4.31m,"14' 1.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,840,"Van Grinsven, Leif",JR-3,4.30m,"14' 1.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,1603,"Smith, Robert",SO-2,3.50m,"11' 5.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,1649,"Harris, David",SR-4,3.45m,"11' 3.75""",2018 Don Church Twilight,"Apr 21, 2018"
