,,ATHLETE,YEAR,TIME,MEET,MEET DATE
0,1885,"Massot, Seth",SO-2,15:27.01,2018 Don Church Twilight,"Apr 21, 2018"
1,2048,"Peterson, Simon",SO-2,15:30.85,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,2069,"Alexander, Grant",JR-3,15:31.51,2018 Don Church Twilight,"Apr 21, 2018"
3,2439,"Jones, Jonah",FR-1,15:41.17,Augustana Viking Olympics,"Mar 29, 2018"
4,2536,"Trujillo, Miles",JR-3,15:43.51,2018 Don Church Twilight,"Apr 21, 2018"
5,3935,"Clark, Colbe",FR-1,16:26.37,2018 Don Church Twilight,"Apr 21, 2018"
